BridgeLoc, leg count, bounding angle, ntn length, wire_width, nStiffness,,,
92,6,35.77205082,0.94090248,0.017135229,1.03E-05,0.672661111,0.669906001,0.333797093
94,6,40.20185102,0.948921763,0.01,1.58E-06,0.669056762,0.666872586,0.332516388
97,6,34.26201765,1.018152141,0.019452339,1.58E-05,0.669587486,0.666938935,0.332532929
98,6,32.118225,0.900000001,0.028937034,7.15E-05,0.678725206,0.674661887,0.336026983
99,6,30.9398267,0.973617897,0.028353097,6.94E-05,0.675174364,0.671713087,0.334539621
100,6,30.44580969,0.94090248,0.03,8.91E-05,0.677975958,0.674155006,0.335562847
101,6,36.18673257,0.902470658,0.020601491,1.77E-05,0.674300886,0.671388938,0.334514778
103,6,32.59644845,0.960135826,0.029549552,6.77E-05,0.674196449,0.671100114,0.334274134
104,6,30.96051585,0.955644056,0.03,8.35E-05,0.676312609,0.672780621,0.334955477
105,6,32.37384534,1.018152141,0.027769101,5.40E-05,0.67106016,0.668046019,0.333088798
106,6,32.84116953,0.900000001,0.026151415,4.95E-05,0.677802344,0.67402825,0.335716303
107,6,33.35547696,0.973617897,0.028225911,5.40E-05,0.672783921,0.669753642,0.333736965
108,6,33.0539342,0.94090248,0.02601318,4.55E-05,0.67489246,0.671838731,0.334586481
109,6,35.47593819,0.902470658,0.020370314,1.84E-05,0.674850694,0.672001703,0.334757252
