BridgeLoc, leg count, bounding angle, ntn length, wire_width, nStiffness
0,6.0,32.743303462969806,0.9000000125436279,0.02908835008028915,6.837111306933631e-05
1,6.0,31.56250148611948,1.0179789903969534,0.02792211028976028,5.950211475719877e-05
2,6.0,36.29733678194492,0.9684233815199568,0.022091185404584567,1.98892407472556e-05
3,4.0,40.67166784180136,0.9960288218038744,0.023317007465686587,2.131778293457493e-05
4,6.0,33.25961633627356,0.900000009923972,0.027364433697515334,5.4307063893917196e-05
5,6.0,32.80844947500108,0.9851802118566266,0.028525934497116927,5.808227610719072e-05
6,6.0,33.11922724349222,0.9000000125436279,0.026305317128398457,4.902909621892994e-05
7,4.0,40.958325407885134,1.0179789903969534,0.021054780884201433,1.5157464459824387e-05
8,6.0,41.55835056151969,0.9684233815199568,0.01,1.456911962593103e-06
9,6.0,32.11077020565381,0.9960288218038744,0.022744433957704074,3.164195819614419e-05
10,6.0,35.56014896384739,0.900000009923972,0.015719398814629075,8.664757409270612e-06
11,6.0,34.70900907123843,0.9851802118566266,0.015175732652423814,7.704662332737314e-06
12,6.0,34.718625053258585,0.9000000125436279,0.015337482052589262,8.772217155970404e-06
13,6.0,34.51695965868773,1.0179789903969534,0.020294847913932074,1.7476820899859668e-05
14,6.0,34.48460612426838,0.9684233815199568,0.020094142446169888,1.799130533968664e-05
15,4.0,32.78037861214134,0.9960288218038744,0.03,9.688611245134242e-05
16,6.0,30.000000020784558,0.900000009923972,0.03,9.728357628828034e-05
17,6.0,30.028034453973117,0.9851802118566266,0.029714528514732858,8.590418768994148e-05
18,6.0,34.47241791228861,0.9000000125436279,0.021306472875482933,2.3173488049268384e-05
19,6.0,40.04739649846615,1.0179789903969534,0.01,1.5210594053718519e-06
20,4.0,43.029225481301644,0.9684233815199568,0.014288826612703044,4.344573439994166e-06
21,6.0,31.548375514614794,0.9960288218038744,0.025415305048825634,4.6283335751531216e-05
22,6.0,32.59405463440518,0.900000009923972,0.025290059695437638,4.5979135235560016e-05
23,6.0,30.976236492466946,0.9851802118566266,0.029133915601456152,7.398613881267589e-05
24,6.0,32.100801084885,0.9000000125436279,0.03,7.970279224475296e-05
25,6.0,31.61296569810443,1.0179789903969534,0.023045210524274884,3.371993104054964e-05
26,6.0,32.59033078207556,0.9684233815199568,0.029163018992916696,6.454644791374734e-05
27,6.0,32.58890381155901,0.9960288218038744,0.028957538576309883,6.129835930439481e-05
28,6.0,33.39439350135054,0.900000009923972,0.025589019832373834,4.400958924347016e-05
29,6.0,30.389163629640645,0.9851802118566266,0.03,8.535963022982233e-05
30,6.0,30.000000024187873,0.9000000125436279,0.03,9.72835759718221e-05
31,6.0,31.44332896939624,1.0179789903969534,0.025392787067936375,4.554817767615043e-05
32,4.0,40.98207315356961,0.9684233815199568,0.022851967993880052,2.000241161340338e-05
33,6.0,37.49376894661999,0.9960288218038744,0.01303701631428201,3.829317284238616e-06
34,4.0,43.83742313721001,0.900000009923972,0.01,1.6164187022024118e-06
35,6.0,32.73355314898905,0.9851802118566266,0.01738146271750229,1.380690910561625e-05
36,6.0,31.44391275767484,0.9000000125436279,0.029766464541498536,8.296797465864507e-05
37,4.0,34.49857687208661,1.0179789903969534,0.03,8.046192345494524e-05
38,6.0,30.000000063867088,0.9684233815199568,0.03,9.020988173756475e-05
39,6.0,35.89389600315124,0.9960288218038744,0.01981597855465274,1.4616665828646726e-05
40,6.0,35.47176913960199,0.900000009923972,0.0176185796832113,1.2117714979308603e-05
41,6.0,33.49556772491002,0.9851802118566266,0.019803994103099874,1.8662353714552936e-05
42,4.0,40.968711127383536,0.9000000125436279,0.022824888013373637,2.135836151581535e-05
43,4.0,40.40812848184713,1.0179789903969534,0.02120609309267369,1.6267231718874752e-05
44,4.0,42.90639695875682,0.9684233815199568,0.02235210988563966,1.5893453919324103e-05
45,6.0,41.56681778006826,0.9960288218038744,0.01,1.4380830079090685e-06
46,6.0,33.84013298185878,0.900000009923972,0.01934370344699765,1.862588998935943e-05
