1.190000000000000058e-04,6.413472999999999757e+00,2.000000000000000000e+00,7.600000000000000418e-05,1.559999999999999972e-04,2.429999999999999977e-04,3.429999999999999889e-04,4.600000000000000139e-04,6.099999999999999737e-04,7.979999999999999897e-04,1.039999999999999909e-03,1.369999999999999907e-03,1.850000000000000082e-03
4.750000000000000262e-05,7.330784000000000411e+00,2.000000000000000000e+00,3.479999999999999885e-05,7.160000000000000565e-05,1.110000000000000011e-04,1.569999999999999944e-04,2.130000000000000003e-04,2.829999999999999942e-04,3.719999999999999891e-04,4.910000000000000085e-04,6.610000000000000207e-04,9.420000000000000205e-04
5.239999999999999805e-06,7.101104999999999556e+00,2.000000000000000000e+00,3.719999999999999959e-06,7.619999999999999888e-06,1.189999999999999957e-05,1.690000000000000082e-05,2.279999999999999854e-05,2.989999999999999833e-05,3.889999999999999686e-05,5.050000000000000100e-05,6.669999999999999497e-05,9.170000000000000633e-05
6.099999999999999872e-05,6.015469999999999651e+00,2.000000000000000000e+00,3.669999999999999760e-05,7.550000000000000558e-05,1.169999999999999979e-04,1.659999999999999963e-04,2.249999999999999938e-04,2.979999999999999793e-04,3.910000000000000172e-04,5.150000000000000498e-04,6.909999999999999910e-04,9.749999999999999552e-04
4.550000000000000144e-05,6.471518999999999799e+00,2.000000000000000000e+00,2.939999999999999973e-05,6.060000000000000255e-05,9.380000000000000317e-05,1.340000000000000045e-04,1.810000000000000085e-04,2.410000000000000033e-04,3.170000000000000075e-04,4.200000000000000174e-04,5.680000000000000370e-04,8.140000000000000534e-04
6.369999999999999998e-06,6.735586999999999769e+00,2.000000000000000000e+00,4.289999999999999584e-06,8.810000000000000353e-06,1.380000000000000001e-05,1.949999999999999965e-05,2.640000000000000135e-05,3.479999999999999885e-05,4.470000000000000232e-05,5.929999999999999806e-05,7.830000000000000588e-05,1.079999999999999960e-04
1.340000000000000045e-05,5.147302999999999962e+00,2.000000000000000000e+00,6.900000000000000005e-06,1.419999999999999957e-05,2.229999999999999994e-05,3.160000000000000238e-05,4.259999999999999871e-05,5.500000000000000196e-05,7.299999999999999903e-05,9.569999999999999514e-05,1.279999999999999942e-04,1.769999999999999926e-04
4.229999999999999819e-05,6.213777000000000328e+00,2.000000000000000000e+00,2.629999999999999892e-05,5.289999999999999835e-05,8.320000000000000301e-05,1.179999999999999951e-04,1.589999999999999888e-04,2.100000000000000087e-04,2.739999999999999923e-04,3.570000000000000040e-04,4.730000000000000046e-04,6.520000000000000188e-04
1.160000000000000007e-04,6.089579999999999771e+00,2.000000000000000000e+00,7.050000000000000602e-05,1.440000000000000036e-04,2.239999999999999966e-04,3.139999999999999888e-04,4.249999999999999763e-04,5.599999999999999509e-04,7.280000000000000230e-04,9.449999999999999850e-04,1.240000000000000000e-03,1.670000000000000043e-03
9.409999999999999691e-06,4.837914999999999743e+00,2.000000000000000000e+00,4.549999999999999635e-06,9.360000000000000169e-06,1.469999999999999986e-05,2.069999999999999832e-05,2.799999999999999958e-05,3.680000000000000003e-05,4.690000000000000158e-05,6.250000000000000130e-05,8.289999999999999572e-05,1.119999999999999983e-04
